"ORXH54.Code.or.Value","ORXH54.Value.Description","ORXH54.Count","ORXH54.Cumulative","ORXH54.Skip.to.Item"
"1","Positive",2,2,NA
"2","Negative",4408,4410,NA
"3","Not evaluated",386,4796,NA
".","Missing",0,4796,NA
