"DR1TTFAT.Code.or.Value","DR1TTFAT.Value.Description","DR1TTFAT.Count","DR1TTFAT.Cumulative","DR1TTFAT.Skip.to.Item"
"0 to 548.38","Range of Values",8531,8531,NA
".","Missing",1282,9813,NA
