"CBQ505.Code.or.Value","CBQ505.Value.Description","CBQ505.Count","CBQ505.Cumulative","CBQ505.Skip.to.Item"
"1","Yes",2179,2179,""
"2","No",271,2450,"CBQ550"
"7","Refused",0,2450,""
"9","Don't know",0,2450,""
".","Missing",495,2945,""
