"LBXSCA.Code.or.Value","LBXSCA.Value.Description","LBXSCA.Count","LBXSCA.Cumulative","LBXSCA.Skip.to.Item"
"6.4 to 11.7","Range of Values",5901,5901,NA
".","Missing",500,6401,NA
