"SSBCEPL.Code.or.Value","SSBCEPL.Value.Description","SSBCEPL.Count","SSBCEPL.Cumulative","SSBCEPL.Skip.to.Item"
"0","At or above the detection limit",2052,2052,NA
"1","Below lower detection limit",251,2303,NA
".","Missing",14,2317,NA
