"WHQ510H.Code.or.Value","WHQ510H.Value.Description","WHQ510H.Count","WHQ510H.Cumulative","WHQ510H.Skip.to.Item"
"17","My friends are trying to lose weight",9,9,NA
".","Missing",1459,1468,NA
