"BIXS054K.Code.or.Value","BIXS054K.Value.Description","BIXS054K.Count","BIXS054K.Cumulative","BIXS054K.Skip.to.Item"
"173.03 to 979.38","Range of Values",4709,4709,NA
".","Missing",1240,5949,NA
