"PADDURAT.Code.or.Value","PADDURAT.Value.Description","PADDURAT.Count","PADDURAT.Cumulative","PADDURAT.Skip.to.Item"
"10 to 600","Range of Values",9260,9260,NA
".","Missing",6,9266,NA
