"DSQILYCO.Code.or.Value","DSQILYCO.Value.Description","DSQILYCO.Count","DSQILYCO.Cumulative","DSQILYCO.Skip.to.Item"
"75 to 15000","Range of Values",586,586,NA
".","Missing",8973,9559,NA
