"URXTCC.Code.or.Value","URXTCC.Value.Description","URXTCC.Count","URXTCC.Cumulative","URXTCC.Skip.to.Item"
"0.42 to 614.75","Range of Values",2747,2747,NA
".","Missing",84,2831,NA
