"VTQ280F.Code.or.Value","VTQ280F.Value.Description","VTQ280F.Count","VTQ280F.Cumulative","VTQ280F.Skip.to.Item"
"1","Yes",196,196,NA
"2","No",1265,1461,NA
"7","Refused",3,1464,NA
"9","Don't know",0,1464,NA
".","Missing",25,1489,NA
