"OSQ090d.Code.or.Value","OSQ090d.Value.Description","OSQ090d.Count","OSQ090d.Cumulative","OSQ090d.Skip.to.Item"
"1","Yes",28,28,"OSQ120d"
"2","No",8,36,""
"7","Refused",0,36,"OSQ120d"
"9","Don't know",0,36,"OSQ120d"
".","Missing",3779,3815,""
