"PAXMSTD.Code.or.Value","PAXMSTD.Value.Description","PAXMSTD.Count","PAXMSTD.Cumulative","PAXMSTD.Skip.to.Item"
"Start time: (HH:MM:SS)","Value was recorded",61168,61168,NA
"< blank >","Missing",0,61168,NA
