"WBXP045.Code.or.Value","WBXP045.Value.Description","WBXP045.Count","WBXP045.Cumulative","WBXP045.Skip.to.Item"
"-112.7966 to 159.2948","Range of Values",5671,5671,NA
".","Missing",11,5682,NA
