"DS1IMAGN.Code.or.Value","DS1IMAGN.Value.Description","DS1IMAGN.Count","DS1IMAGN.Cumulative","DS1IMAGN.Skip.to.Item"
"0.1 to 2000","Range of Values",1006,1006,NA
".","Missing",5062,6068,NA
