"DUQ270U.Code.or.Value","DUQ270U.Value.Description","DUQ270U.Count","DUQ270U.Cumulative","DUQ270U.Skip.to.Item"
"1","Days",36,36,NA
"2","Weeks",20,56,NA
"3","Months",56,112,NA
"4","Years",407,519,NA
"7","Refused",0,519,NA
"9","Don't know",0,519,NA
".","Missing",4324,4843,NA
