"DRXTPROT.Code.or.Value","DRXTPROT.Value.Description","DRXTPROT.Count","DRXTPROT.Cumulative","DRXTPROT.Skip.to.Item"
"0 to 461.02","Range of Values",8725,8725,NA
".","Missing",557,9282,NA
