"DS2ICOPP.Code.or.Value","DS2ICOPP.Value.Description","DS2ICOPP.Count","DS2ICOPP.Cumulative","DS2ICOPP.Skip.to.Item"
"0.001 to 6","Range of Values",935,935,NA
".","Missing",4663,5598,NA
