"RHD280.Code.or.Value","RHD280.Value.Description","RHD280.Count","RHD280.Cumulative","RHD280.Skip.to.Item"
"1","Yes",537,537,""
"2","No",986,1523,"RHQ300"
"7","Refused",0,1523,"RHQ300"
"9","Don't know",2,1525,"RHQ300"
".","Missing",2039,3564,""
