"DS1TTFAT.Code.or.Value","DS1TTFAT.Value.Description","DS1TTFAT.Count","DS1TTFAT.Cumulative","DS1TTFAT.Skip.to.Item"
"0.2 to 29","Range of Values",559,559,NA
".","Missing",9694,10253,NA
