"CIQG30.Code.or.Value","CIQG30.Value.Description","CIQG30.Count","CIQG30.Cumulative","CIQG30.Skip.to.Item"
"0 to 100","Range of Values",46,46,NA
"777","Refused",0,46,NA
"999","Don't know",1,47,NA
".","Missing",731,778,NA
