"HUQ090.Code.or.Value","HUQ090.Value.Description","HUQ090.Count","HUQ090.Cumulative","HUQ090.Skip.to.Item"
"1","Yes",734,734,NA
"2","No",8271,9005,NA
"7","Refused",1,9006,NA
"9","Don't know",4,9010,NA
".","Missing",1165,10175,NA
