"BPQ090C.Code.or.Value","BPQ090C.Value.Description","BPQ090C.Count","BPQ090C.Cumulative","BPQ090C.Skip.to.Item"
"1","Yes",887,887,NA
"2","No",495,1382,NA
"7","Refused",0,1382,NA
"9","Don't know",4,1386,NA
".","Missing",4753,6139,NA
