"LBCBR2LA.Code.or.Value","LBCBR2LA.Value.Description","LBCBR2LA.Count","LBCBR2LA.Cumulative","LBCBR2LA.Skip.to.Item"
"0.5 to 7.8","Range of Values",264,264,NA
".","Missing",0,264,NA
