"URXNOXT.Code.or.Value","URXNOXT.Value.Description","URXNOXT.Count","URXNOXT.Cumulative","URXNOXT.Skip.to.Item"
"1.77 to 6120","Range of Values",615,615,NA
".","Missing",2140,2755,NA
