"ALQ141Q.Code.or.Value","ALQ141Q.Value.Description","ALQ141Q.Count","ALQ141Q.Cumulative","ALQ141Q.Skip.to.Item"
"0 to 350","Range of Values",3588,3588,NA
"777","Refused",0,3588,NA
"999","Don't know",7,3595,NA
".","Missing",2329,5924,NA
