"AUXLR136.Code.or.Value","AUXLR136.Value.Description","AUXLR136.Count","AUXLR136.Cumulative","AUXLR136.Skip.to.Item"
"-21 to 76","Range of Values",3831,3831,NA
".","Missing",669,4500,NA
