"OSQ040bd.Code.or.Value","OSQ040bd.Value.Description","OSQ040bd.Count","OSQ040bd.Cumulative","OSQ040bd.Skip.to.Item"
"1","Under 50 years old, or",9,9,"OSQ025"
"2","50 years old or older?",1,10,""
"7","Refused",0,10,"OSQ025"
"9","Don't know",0,10,"OSQ025"
".","Missing",4969,4979,""
