"DUQ410.Code.or.Value","DUQ410.Value.Description","DUQ410.Count","DUQ410.Cumulative","DUQ410.Skip.to.Item"
"1","Once",10,10,"DUQ430"
"2","2-5 times",22,32,""
"3","6-19 times",14,46,""
"4","20-49 times",14,60,""
"5","50-99 times",13,73,""
"6","100 times or more",31,104,""
"77","Refused",0,104,""
"99","Don't know",1,105,""
".","Missing",4952,5057,""
