"URXMX3.Code.or.Value","URXMX3.Value.Description","URXMX3.Count","URXMX3.Cumulative","URXMX3.Skip.to.Item"
"0.04 to 1610","Range of Values",2714,2714,NA
".","Missing",117,2831,NA
