"DR1TSODI.Code.or.Value","DR1TSODI.Value.Description","DR1TSODI.Count","DR1TSODI.Cumulative","DR1TSODI.Skip.to.Item"
"0 to 16570","Range of Values",8327,8327,NA
".","Missing",1217,9544,NA
