"LBX2DF.Code.or.Value","LBX2DF.Value.Description","LBX2DF.Count","LBX2DF.Cumulative","LBX2DF.Skip.to.Item"
"0.0078 to 0.77","Range of Values",3160,3160,NA
".","Missing",385,3545,NA
