"DR2IP225.Code.or.Value","DR2IP225.Value.Description","DR2IP225.Count","DR2IP225.Cumulative","DR2IP225.Skip.to.Item"
"0 to 2.282","Range of Values",120077,120077,NA
".","Missing",794,120871,NA
