"MIALANG.Code.or.Value","MIALANG.Value.Description","MIALANG.Count","MIALANG.Cumulative","MIALANG.Skip.to.Item"
"1","English",6660,6660,NA
"2","Spanish",699,7359,NA
".","Missing",3178,10537,NA
