"DR2TRET.Code.or.Value","DR2TRET.Value.Description","DR2TRET.Count","DR2TRET.Cumulative","DR2TRET.Skip.to.Item"
"0 to 14573","Range of Values",6502,6502,NA
".","Missing",2202,8704,NA
