"DSQIIRON.Code.or.Value","DSQIIRON.Value.Description","DSQIIRON.Count","DSQIIRON.Cumulative","DSQIIRON.Skip.to.Item"
"0.0004 to 195","Range of Values",1362,1362,NA
".","Missing",6907,8269,NA
