"PHQ050.Code.or.Value","PHQ050.Value.Description","PHQ050.Count","PHQ050.Cumulative","PHQ050.Skip.to.Item"
"1","Yes",13,13,NA
"2","No",9000,9013,NA
".","Missing",166,9179,NA
