"LBXVCB.Code.or.Value","LBXVCB.Value.Description","LBXVCB.Count","LBXVCB.Cumulative","LBXVCB.Skip.to.Item"
"0.0078 to 0.0078","Range of Values",3072,3072,NA
".","Missing",473,3545,NA
