"RHD280.Code.or.Value","RHD280.Value.Description","RHD280.Count","RHD280.Cumulative","RHD280.Skip.to.Item"
"1","Yes",533,533,""
"2","No",1785,2318,"RHQ305"
"7","Refused",0,2318,"RHQ305"
"9","Don't know",6,2324,"RHQ305"
".","Missing",974,3298,""
