"DR2TPFAT.Code.or.Value","DR2TPFAT.Value.Description","DR2TPFAT.Count","DR2TPFAT.Cumulative","DR2TPFAT.Skip.to.Item"
"0 to 118.942","Range of Values",8288,8288,NA
".","Missing",1965,10253,NA
