"DR2TVB6.Code.or.Value","DR2TVB6.Value.Description","DR2TVB6.Count","DR2TVB6.Cumulative","DR2TVB6.Skip.to.Item"
"0 to 27.448","Range of Values",8264,8264,NA
".","Missing",1686,9950,NA
