"LB2FERSI.Code.or.Value","LB2FERSI.Value.Description","LB2FERSI.Count","LB2FERSI.Cumulative","LB2FERSI.Skip.to.Item"
"3 to 1520","Range of Values",546,546,NA
".","Missing",5,551,NA
