"ARXCCIN.Code.or.Value","ARXCCIN.Value.Description","ARXCCIN.Count","ARXCCIN.Cumulative","ARXCCIN.Skip.to.Item"
"65.4 to 148","Range of Values",4615,4615,NA
".","Missing",386,5001,NA
