"DS1IPROT.Code.or.Value","DS1IPROT.Value.Description","DS1IPROT.Count","DS1IPROT.Cumulative","DS1IPROT.Skip.to.Item"
"0.05 to 30","Range of Values",144,144,NA
".","Missing",5924,6068,NA
