"LBDF06LC.Code.or.Value","LBDF06LC.Value.Description","LBDF06LC.Count","LBDF06LC.Cumulative","LBDF06LC.Skip.to.Item"
"0","At or above the detection limit",13,13,NA
"1","Below lower detection limit",275,288,NA
".","Missing",13,301,NA
