"DR1IMAGN.Code.or.Value","DR1IMAGN.Value.Description","DR1IMAGN.Count","DR1IMAGN.Cumulative","DR1IMAGN.Skip.to.Item"
"0 to 898","Range of Values",120433,120433,NA
".","Missing",1048,121481,NA
