"BPQ059.Code.or.Value","BPQ059.Value.Description","BPQ059.Count","BPQ059.Cumulative","BPQ059.Skip.to.Item"
"1","Yes",862,862,NA
"2","No",5601,6463,NA
"7","Refused",1,6464,NA
"9","Don't know",0,6464,NA
".","Missing",0,6464,NA
