"DR1TLZ.Code.or.Value","DR1TLZ.Value.Description","DR1TLZ.Count","DR1TLZ.Cumulative","DR1TLZ.Skip.to.Item"
"0 to 106139","Range of Values",9169,9169,NA
".","Missing",781,9950,NA
