"OCQ450.Code.or.Value","OCQ450.Value.Description","OCQ450.Count","OCQ450.Cumulative","OCQ450.Skip.to.Item"
"1","Yes",280,280,NA
"2","No",440,720,NA
"7","Refused",0,720,NA
"9","Don't know",3,723,NA
".","Missing",6572,7295,NA
