"URXVOL2.Code.or.Value","URXVOL2.Value.Description","URXVOL2.Count","URXVOL2.Cumulative","URXVOL2.Skip.to.Item"
"0 to 452","Range of Values",1464,1464,NA
".","Missing",7144,8608,NA
