"ALQ120Q.Code.or.Value","ALQ120Q.Value.Description","ALQ120Q.Count","ALQ120Q.Cumulative","ALQ120Q.Skip.to.Item"
"0 to 365","Range of Values",4423,4423,NA
"777","Refused",0,4423,NA
"999","Don't know",11,4434,NA
".","Missing",1273,5707,NA
