"TYXA217.Code.or.Value","TYXA217.Value.Description","TYXA217.Count","TYXA217.Cumulative","TYXA217.Skip.to.Item"
"0.232 to 6.046","Range of Values",365,365,NA
".","Missing",8104,8469,NA
