"DRXIM161.Code.or.Value","DRXIM161.Value.Description","DRXIM161.Count","DRXIM161.Cumulative","DRXIM161.Skip.to.Item"
"0 to 7.334","Range of Values",141931,141931,NA
".","Missing",1073,143004,NA
