"URDCYMLC.Code.or.Value","URDCYMLC.Value.Description","URDCYMLC.Count","URDCYMLC.Cumulative","URDCYMLC.Skip.to.Item"
"0","At or above the detection limit",2013,2013,NA
"1","Below lower detection limit",343,2356,NA
".","Missing",106,2462,NA
