"WBXF056.Code.or.Value","WBXF056.Value.Description","WBXF056.Count","WBXF056.Cumulative","WBXF056.Skip.to.Item"
"1834.0081 to 1834.0081","Range of Values",8554,8554,NA
".","Missing",0,8554,NA
