"DR1IP184.Code.or.Value","DR1IP184.Value.Description","DR1IP184.Count","DR1IP184.Cumulative","DR1IP184.Skip.to.Item"
"0 to 0.627","Range of Values",150340,150340,NA
".","Missing",651,150991,NA
