"SMDUPCA.Code.or.Value","SMDUPCA.Value.Description","SMDUPCA.Count","SMDUPCA.Cumulative","SMDUPCA.Skip.to.Item"
"Cig 12-digit Universal Product Code-UPC","Value was recorded",757,757,NA
"","",0,757,NA
