"PHAANTMN.Code.or.Value","PHAANTMN.Value.Description","PHAANTMN.Count","PHAANTMN.Cumulative","PHAANTMN.Skip.to.Item"
"2 to 57","Range of Values",37,37,NA
".","Missing",9385,9422,NA
