"URXOP2.Code.or.Value","URXOP2.Value.Description","URXOP2.Count","URXOP2.Cumulative","URXOP2.Skip.to.Item"
"0.07 to 4481.79","Range of Values",2453,2453,NA
".","Missing",159,2612,NA
