"DRD370F.Code.or.Value","DRD370F.Value.Description","DRD370F.Count","DRD370F.Cumulative","DRD370F.Skip.to.Item"
"1","Yes",257,257,""
"2","No",4864,5121,"DRD370G"
".","Missing",4692,9813,""
