"WTMEC2YR.Code.or.Value","WTMEC2YR.Value.Description","WTMEC2YR.Count","WTMEC2YR.Cumulative","WTMEC2YR.Skip.to.Item"
"0 to 158146.91752","Range of Values",10537,10537,NA
".","Missing",0,10537,NA
