"KIQ161.Code.or.Value","KIQ161.Value.Description","KIQ161.Count","KIQ161.Cumulative","KIQ161.Skip.to.Item"
"18 to 82","Range of Values",183,183,NA
"85","85 or greater years",2,185,NA
"777","Refused",0,185,NA
"999","Don't know",2,187,NA
".","Missing",2088,2275,NA
