"DSD010AN.Code.or.Value","DSD010AN.Value.Description","DSD010AN.Count","DSD010AN.Cumulative","DSD010AN.Skip.to.Item"
"1","Yes",785,785,NA
"2","No",9745,10530,NA
"7","Refused",2,10532,NA
"9","Don't know",4,10536,NA
".","Missing",1,10537,NA
