"OHD09LAS.Code.or.Value","OHD09LAS.Value.Description","OHD09LAS.Count","OHD09LAS.Cumulative","OHD09LAS.Skip.to.Item"
"0 to 11","Range of Values",1546,1546,NA
"99","Calculation cannot be determined",271,1817,NA
".","Missing",4941,6758,NA
